Varsta 23
Ocupatie Inginer
Mana dreptaci
Foloseste stanga

=== SESSION START: 2025-06-13 20:12:55 ===
[2025-06-13 20:18:55.632] UART: {'type': 'volume', 'key': '1', 'value': 356}
[2025-06-13 20:18:55.655] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:56.056] UART: {'type': 'volume', 'key': '1', 'value': 853}
[2025-06-13 20:18:56.080] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:56.190] UART: {'type': 'volume', 'key': '1', 'value': 1269}
[2025-06-13 20:18:56.210] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:56.316] UART: {'type': 'volume', 'key': '1', 'value': 1374}
[2025-06-13 20:18:56.335] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:57.142] UART: {'type': 'volume', 'key': '2', 'value': 145}
[2025-06-13 20:18:57.181] UART: {'type': 'proxy', 'key': 'distance', 'value': 80}
[2025-06-13 20:18:57.287] UART: {'type': 'volume', 'key': '2', 'value': 336}
[2025-06-13 20:18:57.325] UART: {'type': 'proxy', 'key': 'distance', 'value': 76}
[2025-06-13 20:18:57.928] UART: {'type': 'volume', 'key': '2', 'value': 499}
[2025-06-13 20:18:57.969] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-13 20:18:58.076] UART: {'type': 'volume', 'key': '2', 'value': 1424}
[2025-06-13 20:18:58.111] UART: {'type': 'proxy', 'key': 'distance', 'value': 82}
[2025-06-13 20:18:58.212] UART: {'type': 'volume', 'key': '2', 'value': 1718}
[2025-06-13 20:18:58.259] UART: {'type': 'proxy', 'key': 'distance', 'value': 83}
[2025-06-13 20:18:58.755] UART: {'type': 'volume', 'key': '2', 'value': 1893}
[2025-06-13 20:18:58.781] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:58.888] UART: {'type': 'volume', 'key': '2', 'value': 2176}
[2025-06-13 20:18:58.931] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 20:18:59.034] UART: {'type': 'volume', 'key': '2', 'value': 2306}
[2025-06-13 20:18:59.069] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 20:19:21.728] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 20:19:21.741] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-13 20:19:22.219] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:19:22.261] UART: {'type': 'proxy', 'key': 'distance', 'value': 71}
[2025-06-13 20:19:23.064] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:19:23.102] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-13 20:20:05.234] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:20:05.256] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-13 20:20:22.726] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:20:22.740] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-13 20:20:25.883] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 20:20:25.893] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-13 20:20:26.642] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:20:26.678] UART: {'type': 'proxy', 'key': 'distance', 'value': 49}
[2025-06-13 20:20:37.229] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:20:37.239] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-13 20:20:38.931] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:20:38.970] UART: {'type': 'proxy', 'key': 'distance', 'value': 65}
[2025-06-13 20:20:54.728] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:20:54.738] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-13 20:21:02.144] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
