Varsta 22
Ocupatie Inginer
Mana stangaci
Foloseste stanga

=== SESSION START: 2025-06-14 13:15:38 ===
[2025-06-14 13:23:28.039] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:28.083] UART: {'type': 'proxy', 'key': 'distance', 'value': 89}
[2025-06-14 13:23:28.497] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:28.522] UART: {'type': 'proxy', 'key': 'distance', 'value': 88}
[2025-06-14 13:23:32.731] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-14 13:23:32.767] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-14 13:23:34.076] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:23:34.110] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:24:35.876] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:24:35.891] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-14 13:24:37.245] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:24:37.265] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-14 13:24:41.254] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:24:41.266] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-14 13:24:43.035] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:24:43.053] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:24:47.865] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:24:47.898] UART: {'type': 'proxy', 'key': 'distance', 'value': 78}
[2025-06-14 13:24:54.405] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:24:54.416] UART: {'type': 'proxy', 'key': 'distance', 'value': 73}
[2025-06-14 13:24:58.543] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:24:58.585] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:25:01.350] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:25:01.360] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-14 13:25:05.730] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:25:05.738] UART: {'type': 'proxy', 'key': 'distance', 'value': 71}
[2025-06-14 13:25:59.044] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:25:59.055] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-14 13:26:16.217] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:26:16.225] UART: {'type': 'proxy', 'key': 'distance', 'value': 66}
[2025-06-14 13:26:17.777] UART: {'type': 'volume', 'key': '1', 'value': 1744}
[2025-06-14 13:26:17.808] UART: {'type': 'proxy', 'key': 'distance', 'value': 96}
[2025-06-14 13:26:17.911] UART: {'type': 'volume', 'key': '1', 'value': 1680}
[2025-06-14 13:26:17.953] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-14 13:26:18.160] UART: {'type': 'volume', 'key': '1', 'value': 1605}
[2025-06-14 13:26:18.196] UART: {'type': 'proxy', 'key': 'distance', 'value': 93}
[2025-06-14 13:26:18.302] UART: {'type': 'volume', 'key': '1', 'value': 1535}
[2025-06-14 13:26:18.338] UART: {'type': 'proxy', 'key': 'distance', 'value': 93}
[2025-06-14 13:26:18.442] UART: {'type': 'volume', 'key': '1', 'value': 1469}
[2025-06-14 13:26:18.487] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-14 13:26:18.583] UART: {'type': 'volume', 'key': '1', 'value': 1386}
[2025-06-14 13:26:18.630] UART: {'type': 'proxy', 'key': 'distance', 'value': 93}
