
=== SESSION START: 2025-06-12 22:25:36 ===
[2025-06-12 23:20:54.593] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:20:54.607] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-12 23:21:18.583] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:21:18.591] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-12 23:21:19.757] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:21:19.804] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-12 23:27:04.882] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-12 23:27:04.890] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-12 23:38:35.594] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-12 23:38:35.603] UART: {'type': 'proxy', 'key': 'distance', 'value': 49}
[2025-06-12 23:38:37.397] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 23:38:37.437] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-12 23:38:40.824] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 23:38:40.829] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-12 23:39:44.100] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:39:44.110] UART: {'type': 'proxy', 'key': 'distance', 'value': 44}
[2025-06-12 23:39:48.487] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:39:48.502] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-12 23:40:38.565] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:40:38.577] UART: {'type': 'proxy', 'key': 'distance', 'value': 40}
[2025-06-12 23:40:42.285] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:40:42.296] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 23:41:40.863] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:41:40.872] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-12 23:41:41.914] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:41:41.951] UART: {'type': 'proxy', 'key': 'distance', 'value': 33}
[2025-06-12 23:41:44.419] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:41:44.429] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 23:41:48.503] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:41:48.512] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 23:41:51.209] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:41:51.218] UART: {'type': 'proxy', 'key': 'distance', 'value': 36}
[2025-06-12 23:42:10.069] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:42:10.089] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-12 23:42:23.066] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:42:23.079] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-12 23:42:35.567] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:42:35.580] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-12 23:42:52.068] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:42:52.079] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 23:43:43.599] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:43:43.609] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-12 23:43:49.475] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:43:49.488] UART: {'type': 'proxy', 'key': 'distance', 'value': 39}
[2025-06-12 23:44:23.570] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:44:23.582] UART: {'type': 'proxy', 'key': 'distance', 'value': 36}
[2025-06-12 23:44:35.571] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:44:35.584] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-12 23:44:38.398] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:44:38.412] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-12 23:44:42.750] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:44:42.760] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-12 23:44:45.499] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:44:45.511] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
[2025-06-12 23:45:40.590] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:45:40.600] UART: {'type': 'proxy', 'key': 'distance', 'value': 39}
[2025-06-12 23:45:46.876] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:45:46.886] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-12 23:45:54.508] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:45:54.520] UART: {'type': 'proxy', 'key': 'distance', 'value': 55}
[2025-06-12 23:46:08.473] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:46:08.484] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-12 23:46:46.097] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:46:46.112] UART: {'type': 'proxy', 'key': 'distance', 'value': 103}
[2025-06-12 23:46:51.253] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:46:51.267] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-12 23:47:02.094] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:47:02.108] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-12 23:47:05.771] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:47:05.786] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-12 23:48:29.571] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 23:48:29.581] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-12 23:50:00.104] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-12 23:50:00.110] UART: {'type': 'proxy', 'key': 'distance', 'value': 67}
[2025-06-13 00:16:01.120] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 00:16:01.130] UART: {'type': 'proxy', 'key': 'distance', 'value': 74}
[2025-06-13 00:20:07.590] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-13 00:20:07.603] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-13 00:20:21.591] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 00:20:21.601] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-13 00:20:25.219] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 00:20:25.228] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-13 00:22:24.877] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-13 00:22:24.890] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-13 00:22:40.090] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 00:22:40.100] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-13 00:22:51.091] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 00:22:51.108] UART: {'type': 'proxy', 'key': 'distance', 'value': 58}
[2025-06-13 00:22:53.704] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 00:22:53.717] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-13 00:24:55.879] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-13 00:24:55.893] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-13 00:25:10.091] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 00:25:10.100] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-13 00:25:14.232] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 00:25:14.243] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
[2025-06-13 00:26:52.639] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-13 00:26:52.667] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-13 00:27:07.593] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 00:27:07.604] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-13 00:27:14.292] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 00:27:14.302] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-13 00:27:16.529] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-13 00:27:16.538] UART: {'type': 'proxy', 'key': 'distance', 'value': 39}
