Varsta 23
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:22:39 ===
[2025-06-13 19:24:36.029] UART: {'type': 'volume', 'key': '1', 'value': 650}
[2025-06-13 19:24:36.052] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-13 19:24:36.303] UART: {'type': 'volume', 'key': '1', 'value': 565}
[2025-06-13 19:24:36.352] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-13 19:24:37.373] UART: {'type': 'volume', 'key': '0', 'value': 1085}
[2025-06-13 19:24:37.382] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-13 19:24:37.483] UART: {'type': 'volume', 'key': '0', 'value': 991}
[2025-06-13 19:24:37.514] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-13 19:24:39.822] UART: {'type': 'volume', 'key': '2', 'value': 2130}
[2025-06-13 19:24:39.833] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-13 19:24:47.966] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:24:47.974] UART: {'type': 'proxy', 'key': 'distance', 'value': 77}
[2025-06-13 19:24:51.043] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:24:51.050] UART: {'type': 'proxy', 'key': 'distance', 'value': 75}
[2025-06-13 19:24:52.995] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:24:53.004] UART: {'type': 'proxy', 'key': 'distance', 'value': 73}
[2025-06-13 19:24:54.389] UART: {'type': 'volume', 'key': '1', 'value': 624}
[2025-06-13 19:24:54.480] UART: {'type': 'proxy', 'key': 'distance', 'value': 55}
[2025-06-13 19:24:55.970] UART: {'type': 'volume', 'key': '1', 'value': 560}
[2025-06-13 19:24:56.021] UART: {'type': 'proxy', 'key': 'distance', 'value': 58}
[2025-06-13 19:24:56.122] UART: {'type': 'volume', 'key': '1', 'value': 464}
[2025-06-13 19:24:56.144] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-13 19:24:56.225] UART: {'type': 'volume', 'key': '1', 'value': 405}
[2025-06-13 19:24:56.274] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-13 19:24:56.779] UART: {'type': 'volume', 'key': '0', 'value': 840}
[2025-06-13 19:24:56.839] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-13 19:24:56.914] UART: {'type': 'volume', 'key': '0', 'value': 783}
[2025-06-13 19:24:56.964] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-13 19:24:57.364] UART: {'type': 'volume', 'key': '1', 'value': 302}
[2025-06-13 19:24:57.400] UART: {'type': 'proxy', 'key': 'distance', 'value': 76}
[2025-06-13 19:24:57.908] UART: {'type': 'volume', 'key': '2', 'value': 2018}
[2025-06-13 19:24:57.946] UART: {'type': 'proxy', 'key': 'distance', 'value': 94}
[2025-06-13 19:24:58.045] UART: {'type': 'volume', 'key': '2', 'value': 1796}
[2025-06-13 19:24:58.087] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-13 19:24:58.492] UART: {'type': 'volume', 'key': '2', 'value': 1545}
[2025-06-13 19:24:58.536] UART: {'type': 'proxy', 'key': 'distance', 'value': 61}
[2025-06-13 19:24:58.633] UART: {'type': 'volume', 'key': '2', 'value': 1061}
[2025-06-13 19:24:58.673] UART: {'type': 'proxy', 'key': 'distance', 'value': 29}
[2025-06-13 19:24:58.772] UART: {'type': 'volume', 'key': '2', 'value': 718}
