Varsta 22
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:42:00 ===
[2025-06-13 20:06:31.767] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:31.772] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:39.490] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:39.498] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:46.103] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:46.107] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:49.737] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:49.742] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:52.937] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:52.943] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:56.162] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:56.165] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:57.634] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 20:06:57.695] UART: {'type': 'proxy', 'key': 'distance', 'value': 55}
[2025-06-13 20:07:03.039] UART: {'type': 'volume', 'key': '0', 'value': 537}
[2025-06-13 20:07:03.047] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-13 20:07:03.115] UART: {'type': 'volume', 'key': '0', 'value': 297}
[2025-06-13 20:07:03.155] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-13 20:07:03.260] UART: {'type': 'volume', 'key': '0', 'value': 0}
[2025-06-13 20:07:03.300] UART: {'type': 'proxy', 'key': 'distance', 'value': 23}
[2025-06-13 20:07:03.902] UART: {'type': 'volume', 'key': '0', 'value': 272}
[2025-06-13 20:07:03.942] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-13 20:07:04.046] UART: {'type': 'volume', 'key': '0', 'value': 679}
[2025-06-13 20:07:04.091] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-13 20:07:04.191] UART: {'type': 'volume', 'key': '0', 'value': 1376}
[2025-06-13 20:07:04.237] UART: {'type': 'proxy', 'key': 'distance', 'value': 30}
[2025-06-13 20:07:04.337] UART: {'type': 'volume', 'key': '0', 'value': 1629}
[2025-06-13 20:07:04.376] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-13 20:07:04.680] UART: {'type': 'volume', 'key': '0', 'value': 1888}
[2025-06-13 20:07:04.719] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 20:07:04.828] UART: {'type': 'volume', 'key': '0', 'value': 2071}
[2025-06-13 20:07:04.868] UART: {'type': 'proxy', 'key': 'distance', 'value': 40}
[2025-06-13 20:07:05.071] UART: {'type': 'volume', 'key': '0', 'value': 1872}
